351	1778.10		254.2
352	1778.11		247.3
353	1778.12		236.4
354	1779.01		231.7
355	1779.02		229.1
356	1779.03		222.9
357	1779.04		216.5
358	1779.05		211.7
359	1779.06		209.5
360	1779.07		206.8
361	1779.08		199
362	1779.09		192.9
363	1779.10		188
364	1779.11		182.3
365	1779.12		178.2
366	1780.01		172.5
367	1780.02		166.7
368	1780.03		163.7
369	1780.04		159.2
370	1780.05		152.2
371	1780.06		144.9
372	1780.07		143.3
373	1780.08		143.7
374	1780.09		139
375	1780.10		134
376	1780.11		131.9
377	1780.12		132.4
378	1781.01		132.2
379	1781.02		130
380	1781.03		125.6
381	1781.04		119.2
382	1781.05		116.3
383	1781.06		115.1
384	1781.07		110.4
385	1781.08		104.7
386	1781.09		101
387	1781.10		98
388	1781.11		92.6
389	1781.12		85
390	1782.01		78.3
391	1782.02		74.2
392	1782.03		71.5
393	1782.04		70
394	1782.05		67.3
395	1782.06		64.5
396	1782.07		62.3
397	1782.08		60.6
398	1782.09		59.9
399	1782.10		58.3
400	1782.11		55.3
401	1782.12		52.2
402	1783.01		51
403	1783.02		49
404	1783.03		46.2
405	1783.04		44.1
406	1783.05		41.9
407	1783.06		39.4
408	1783.07		37
409	1783.08		33.8
410	1783.09		30.6
411	1783.10		28.2
412	1783.11		25.7
413	1783.12		23.4
414	1784.01		20.5
415	1784.02		18
416	1784.03		16.7
417	1784.04		16.2
418	1784.05		16.3
419	1784.06		16.7
420	1784.07		16.5
421	1784.08		16
422	1784.09		15.9
423	1784.10		16.2
424	1784.11		17.6
425	1784.12		19.8
426	1785.01		23.1
427	1785.02		25.9
428	1785.03		28.1
429	1785.04		32.4
430	1785.05		36.7
431	1785.06		39.2
432	1785.07		42.3
433	1785.08		47.2
434	1785.09		52.6
435	1785.10		60.1
436	1785.11		69.9
437	1785.12		77.2
438	1786.01		82.7
439	1786.02		90.8
440	1786.03		101.1
441	1786.04		111.2
442	1786.05		121
443	1786.06		132.2
444	1786.07		144.9
445	1786.08		155.7
446	1786.09		162.5
447	1786.10		168.2
448	1786.11		174
449	1786.12		179.8
450	1787.01		185.7
451	1787.02		192.1
452	1787.03		198.6
453	1787.04		204.9
454	1787.05		209.8
455	1787.06		215.8
456	1787.07		220.3
457	1787.08		222.1
458	1787.09		227.6
459	1787.10		230.2
460	1787.11		227.4
461	1787.12		229.7
462	1788.01		234.4
463	1788.02		235.3
464	1788.03		234.1
465	1788.04		231.9
466	1788.05		227.6
467	1788.06		221.3
468	1788.07		216.5
469	1788.08		214.6
470	1788.09		212.7
471	1788.10		212.1
472	1788.11		213.8
473	1788.12		212.2
474	1789.01		208.1
475	1789.02		204.1
476	1789.03		199.8
477	1789.04		194.2
478	1789.05		193.3
479	1789.06		196.4
480	1789.07		196.1
481	1789.08		195.5
482	1789.09		194
483	1789.10		190.3
484	1789.11		186.1
485	1789.12		182
486	1790.01		176.7
487	1790.02		172.3
488	1790.03		168.7
489	1790.04		166
490	1790.05		162
491	1790.06		154.1
492	1790.07		147.7
493	1790.08		141.1
494	1790.09		135
495	1790.10		132.2
496	1790.11		129.7
497	1790.12		126.5
498	1791.01		124.8
499	1791.02		121.9
500	1791.03		118.1
501	1791.04		115.7
502	1791.05		113.1
503	1791.06		111.5
504	1791.07		109.9
505	1791.08		109.1
506	1791.09		108.4
507	1791.10		107.6
508	1791.11		106.7
509	1791.12		105.6
510	1792.01		103.7
511	1792.02		103.1
512	1792.03		103.7
513	1792.04		103
514	1792.05		102.2
515	1792.06		100.8
516	1792.07		99.9
517	1792.08		99.2
518	1792.09		98
519	1792.10		95.9
520	1792.11		93.7
521	1792.12		92.3
522	1793.01		91.9
523	1793.02		90.1
524	1793.03		85.5
525	1793.04		82.2
526	1793.05		80.5
527	1793.06		78.9
528	1793.07		77.4
529	1793.08		75.9
530	1793.09		73.9
531	1793.10		71
532	1793.11		69.5
533	1793.12		69.1
534	1794.01		67.8
535	1794.02		67.9
536	1794.03		67.7
537	1794.04		65.6
538	1794.05		65.9
539	1794.06		67.9
540	1794.07		66.7
541	1794.08		64.8
542	1794.09		62.7
543	1794.10		60.3
544	1794.11		57.9
